Algorithm,n,time_ns,comparisons,swaps,distanceCalcs,depth
mergesort,100,155800,859,778,0,3
quicksort,100,94800,2021,935,0,5
closest,100,4684400,2021,935,129,7
mergesort,500,455800,8393,6906,129,7
quicksort,500,370100,14257,7971,129,7
closest,500,2551500,14257,7971,684,9
mergesort,1000,812900,27359,20256,684,9
quicksort,1000,652900,40203,22640,684,9
closest,1000,1864000,40203,22640,1824,10
mergesort,5000,2043100,107170,86041,1824,10
quicksort,5000,938900,196078,100378,1824,10
closest,5000,8200100,196078,100378,8298,12
